service_display_name,name,quantity,region,service_id,sku,"total_price, USD",notes
Cloud Run,Services CPU (Request-based billing),4000000.0000000005,global,152E-C115-5142,4856-B847-F1EB,0.096,
Cloud Run,Services Memory (Request-based billing),2000000.0000000002,global,152E-C115-5142,02A2-9231-36A6,0.005,
Cloud Run,Requests,10000.0,global,152E-C115-5142,2DA5-55D3-E679,0,
PostgreSQL (Cloud SQL),Cloud SQL for PostgreSQL: Zonal - Micro instance in Americas,730.0,us-central1,9662-B51E-5089,C2D4-F7DF-B8D0,7.665,
PostgreSQL (Cloud SQL),Cloud SQL for PostgreSQL: Zonal - Standard storage in Americas,7300.0,us-central1,9662-B51E-5089,C18F-7FE0-0717,1.7,
Cloud Storage,Standard Storage US Regional,3.0,us-central1,95FF-2EF5-5EA1,E5F0-6A5D-7BAD,0,
,,,,,,,
,,,,,Total Price:,9.466,
,,,,,,,
"Prices are in US dollars, effective date is 2026-05-23T17:48:25.500Z",,,,,,,
,,,,,,,
The estimated fees provided by Google Cloud Pricing Calculator are for discussion purposes only and are not binding on either you or Google. Your actual fees may be higher or lower than the estimate.,,,,,,,
,,,,,,,
Url to the estimate:,https://cloud.google.com/calculator?dl=CjhDaVJrT1dKbE16WTROQzB4TXpjeExUUm1NRFV0WWpKbFpDMDJZMlpsWW1JMU5XWTNOV1FRQVE9PRokQTM3MTZFNzUtNkVFQy00RDA0LTlFMkQtRkNDNTdBMEUzRTc3,,,,,,